name,min_price,max_price,processor,link,photo_link
Lenovo IdeaPad 330-15 (81DE01VQRA),16898,17738,Intel Core i7,https://price.ua/lenovo/lenovo_ideapad_330-15_81de01vqra/catc839t14m3718058.html,i4.price.ua/images/model/839/3718058/2/1/type5/lenovo_ideapad_330-15_81de01vqra_5063996.jpg
Lenovo IdeaPad 330-15IKBR (81DE01HURA),11999,16499,Intel Core i3,https://price.ua/lenovo/lenovo_ideapad_330-15ikbr_81de01hura/catc839t14m3710614.html,i4.price.ua/images/model/839/3718058/2/1/type5/lenovo_ideapad_330-15_81de01vqra_5063996.jpg
ASUS X712FA (X712FA-BX320),12499,13035,Core i3 8145U,https://price.ua/asus/asus_x712fa_x712fa-bx320/catc839t14m4150007.html,i4.price.ua/images/model/839/3718058/2/1/type5/lenovo_ideapad_330-15_81de01vqra_5063996.jpg
Acer Nitro 5 AN515-53-52FA (NH.Q3ZAA.001),17799,17799,Intel Core i5,https://price.ua/acer/acer_nitro_5_an515-53-52fa_nh_q3zaa_001/catc839t14m3536582.html,i4.price.ua/images/model/839/3718058/2/1/type5/lenovo_ideapad_330-15_81de01vqra_5063996.jpg
Xiaomi Mi Notebook Lite 15.6 Intel Core i3 4/128Gb,13400,13400,Intel Core i3,https://price.ua/xiaomi/xiaomi_mi_notebook_lite_15_6_intel_core_i3_4_128gb/catc839t14m3894065.html,i4.price.ua/images/model/839/3718058/2/1/type5/lenovo_ideapad_330-15_81de01vqra_5063996.jpg
